2022-10-24 20:08:54 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 6.1.5.Final
2022-10-24 20:08:55 [main] INFO  c.m.demo.config.server.ConfigServer - No active profile set, falling back to default profiles: default
2022-10-24 20:08:56 [main] INFO  o.s.cloud.context.scope.GenericScope - BeanFactory id=2a519873-3bf9-3410-9240-bed5bf7485b8
2022-10-24 20:08:57 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8888 (http)
2022-10-24 20:08:57 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8888"]
2022-10-24 20:08:57 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2022-10-24 20:08:57 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.38]
2022-10-24 20:08:57 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2022-10-24 20:08:57 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1626 ms
2022-10-24 20:08:57 [main] INFO  o.s.s.c.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2022-10-24 20:09:00 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Creating filter chain: Ant [pattern='/actuator/**'], []
2022-10-24 20:09:00 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Creating filter chain: Ant [pattern='/encrypt/**'], []
2022-10-24 20:09:00 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Creating filter chain: Ant [pattern='/decrypt/**'], []
2022-10-24 20:09:01 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Creating filter chain: any request, [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@54a6ef6, org.springframework.security.web.context.SecurityContextPersistenceFilter@4f4d05b3, org.springframework.security.web.header.HeaderWriterFilter@3dec79f8, org.springframework.security.web.csrf.CsrfFilter@bb6869a, org.springframework.security.web.authentication.logout.LogoutFilter@5cbe72b9, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@45e69324, org.springframework.security.web.authentication.ui.DefaultLoginPageGeneratingFilter@3355b8ff, org.springframework.security.web.authentication.ui.DefaultLogoutPageGeneratingFilter@5c740c5a, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@1aee6d14, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@2c154508, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@57839834, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@7fd2a67a, org.springframework.security.web.session.SessionManagementFilter@14b26e90, org.springframework.security.web.access.ExceptionTranslationFilter@34bf66af, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@1aa59698]
2022-10-24 20:09:01 [main] INFO  o.s.b.a.e.web.EndpointLinksResolver - Exposing 2 endpoint(s) beneath base path '/actuator'
2022-10-24 20:09:01 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8888"]
2022-10-24 20:09:01 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8888 (http) with context path ''
2022-10-24 20:09:02 [main] INFO  c.m.demo.config.server.ConfigServer - Started ConfigServer in 8.659 seconds (JVM running for 9.388)
2022-10-24 20:09:36 [http-nio-8888-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2022-10-24 20:09:36 [http-nio-8888-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2022-10-24 20:09:36 [http-nio-8888-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 8 ms
2022-10-24 20:09:37 [http-nio-8888-exec-1] WARN  o.a.c.util.SessionIdGeneratorBase - Creation of SecureRandom instance for session ID generation using [SHA1PRNG] took [187] milliseconds.
2022-10-24 20:09:38 [http-nio-8888-exec-1] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: file:/C:/Users/dougl/AppData/Local/Temp/config-repo-5024940378641990219/config-client-elastic_query.yml
2022-10-24 20:09:38 [http-nio-8888-exec-1] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: file:/C:/Users/dougl/AppData/Local/Temp/config-repo-5024940378641990219/config-client.yml
